State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Bihar,5,Banka,2015,11,23,76,16,0,0,63,0,0,45,0,0,0,0,234
Bihar,6,Begusarai,2015,24,34,134,30,0,0,71,0,0,41,0,0,0,3,337
Bihar,7,Bettiah,2015,37,44,155,17,0,0,52,0,0,115,0,0,0,1,421
Bihar,8,Bhabhua,2015,20,3,64,20,0,0,70,0,0,33,0,0,0,0,210
Bihar,9,Bhagalpur,2015,33,7,185,23,30,0,117,0,0,2,0,0,0,0,397
Bihar,10,Bhojpur,2015,12,18,89,43,6,0,0,0,0,125,0,0,0,0,293
Bihar,11,Buxar,2015,14,0,63,26,6,0,82,0,0,23,0,0,0,0,214
Bihar,12,Darbhanga,2015,35,19,217,26,0,8,201,0,0,0,0,0,0,1,507
Bihar,13,Gaya,2015,26,3,196,54,0,0,147,0,0,123,0,0,161,2,712
Bihar,14,Gopalganj,2015,13,11,135,34,0,0,168,0,0,0,0,0,0,0,361
Bihar,15,Jamalpur Railway,2015,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4
Bihar,16,Jamui,2015,10,13,40,10,28,0,73,0,0,0,0,0,0,0,174
Bihar,17,Jehanabad,2015,15,8,54,23,1,0,34,0,0,31,0,0,0,0,166
Bihar,18,Katihar,2015,66,22,147,10,0,0,76,0,0,71,0,0,0,1,393
Bihar,19,Katihar Railway,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bihar,20,Khagaria,2015,18,13,80,16,2,0,74,0,0,24,0,0,0,0,227
Bihar,21,Kishanganj,2015,59,3,89,11,8,0,73,0,0,14,0,0,0,3,260
Bihar,22,Lakhisarai,2015,10,19,38,7,0,0,18,0,0,61,0,0,0,0,153
Bihar,23,Madhepura,2015,20,3,79,12,0,0,42,0,0,0,0,0,0,0,156
Bihar,24,Madhubani,2015,47,0,202,31,1,0,217,0,0,0,0,0,0,0,498
Bihar,25,Motihari,2015,23,0,251,79,1,0,154,0,0,60,0,0,0,0,568
Bihar,26,Munger,2015,8,3,43,7,6,0,43,0,0,0,0,0,0,1,111
Bihar,27,Muzaffarpur,2015,37,52,208,53,5,0,244,0,0,190,0,0,0,0,789
Bihar,28,Muzaffarpur Railway,2015,4,0,6,0,4,0,1,0,0,0,0,0,0,0,15
Bihar,29,Nalanda,2015,29,0,193,54,2,0,195,0,0,71,0,0,0,0,544
Bihar,30,Naugachia,2015,5,1,32,7,19,4,13,0,0,28,0,0,0,0,109
Bihar,31,Nawadah,2015,27,1,106,29,0,0,37,0,0,63,0,0,0,0,263
Bihar,32,Patna,2015,82,29,644,104,11,83,474,0,0,231,0,0,0,5,1663
Bihar,33,Patna Railway,2015,1,0,5,1,20,0,0,0,0,0,0,0,0,0,27
Bihar,34,Purnea,2015,44,0,111,16,0,0,54,0,0,44,0,0,0,0,269
Bihar,35,Rohtas,2015,29,10,108,41,3,0,68,0,0,0,0,0,0,0,259
Bihar,36,Saharsa,2015,19,0,86,3,0,0,49,0,0,17,0,0,0,0,174
Bihar,37,Samastipur,2015,34,0,183,34,0,0,102,0,0,52,0,0,0,0,405
Bihar,38,Saran,2015,29,10,222,73,1,0,58,0,0,128,0,0,0,0,521
Bihar,39,Sheikhpura,2015,1,8,24,13,17,0,28,0,0,22,0,0,0,0,113
Bihar,40,Sheohar,2015,5,0,25,4,6,0,18,0,0,0,0,0,0,0,58
Bihar,41,Sitamarhi,2015,22,12,180,14,0,0,196,0,0,0,0,0,0,0,424
Bihar,42,Siwan,2015,21,0,136,41,0,0,38,0,0,110,0,0,0,0,346
Bihar,43,Supaul,2015,22,15,99,14,2,0,72,0,0,34,0,0,0,0,258
Bihar,44,Vaishali,2015,36,0,229,62,0,0,137,0,0,0,0,0,0,4,468
Bihar,45,Economic Offences Unit,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,46,Anti Terrorist Squad,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,47,Total District(s),2015,1041,403,5158,1154,198,96,3792,0,0,1867,0,0,161,21,13891
Chhattisgarh,1,Balod,2015,37,2,32,4,50,1,13,0,2,0,0,0,0,0,141
Chhattisgarh,2,Balodbazar,2015,60,0,83,4,90,1,16,0,12,0,0,0,0,0,266
Chhattisgarh,3,Balrampur,2015,98,0,14,3,65,1,24,0,0,0,0,0,0,0,205
Chhattisgarh,4,Bemetra,2015,24,0,29,3,44,2,12,0,3,0,0,0,0,0,117
Chhattisgarh,5,Bilaspur,2015,93,0,144,6,204,1,47,0,20,0,0,0,0,0,515
Chhattisgarh,6,Bizapur,2015,9,0,12,0,4,0,4,0,0,0,0,0,0,0,29
Chhattisgarh,7,Dantewara,2015,9,0,8,0,10,0,2,0,1,0,0,0,0,0,30
Chhattisgarh,8,Dhamtari,2015,35,0,13,0,39,2,6,0,3,0,0,0,0,0,98
Chhattisgarh,9,Durg,2015,112,7,125,1,226,8,84,0,19,0,0,0,0,3,585
Chhattisgarh,10,Gariyaband,2015,46,2,17,0,25,1,13,0,5,0,0,0,0,0,109
Chhattisgarh,11,G. R. P. Raipur,2015,0,0,2,1,8,1,0,0,0,0,0,0,0,0,12
Chhattisgarh,12,Jagdalpur,2015,58,0,50,2,28,0,10,0,6,0,0,0,0,0,154
Chhattisgarh,13,Janjgir,2015,54,3,79,20,112,6,42,0,11,0,0,0,0,0,327
Chhattisgarh,14,Jashpur,2015,98,0,57,0,44,0,3,0,0,2,0,0,0,0,204
Chhattisgarh,15,Kabirdham,2015,29,0,35,1,72,0,20,0,1,0,0,0,0,0,158
Chhattisgarh,16,Kanker,2015,56,0,31,2,36,3,24,0,0,0,0,0,0,0,152
Chhattisgarh,17,Kondagaon,2015,29,0,21,0,24,0,7,0,0,0,0,0,0,0,81
Chhattisgarh,18,Korba,2015,67,1,51,7,64,3,36,0,2,0,0,0,0,1,232
Chhattisgarh,19,Koriya,2015,68,0,41,1,75,2,34,0,11,0,0,0,0,0,232
Chhattisgarh,20,Mahasamund,2015,43,1,48,2,76,5,15,0,2,0,0,0,0,0,192
Chhattisgarh,21,Mungali,2015,19,0,38,1,42,1,15,0,6,0,0,0,0,0,122
Chhattisgarh,22,Narayanpur,2015,5,0,7,0,0,0,0,0,1,0,0,0,0,0,13
Chhattisgarh,23,Raigarh,2015,122,0,75,16,98,6,48,0,0,2,0,0,0,0,367
Chhattisgarh,24,Raipur,2015,198,3,205,8,205,7,70,0,21,5,0,0,2,0,724
Chhattisgarh,25,Rajnandgaon,2015,49,0,73,4,87,1,28,0,6,0,0,0,0,0,248
Chhattisgarh,26,Sarguja,2015,82,0,14,0,76,0,6,0,2,0,0,0,0,0,180
Chhattisgarh,27,Sukma,2015,5,0,5,0,6,0,1,0,0,0,0,0,0,0,17
Chhattisgarh,28,Surajpur,2015,55,0,45,3,58,1,40,0,7,1,0,0,0,0,210
Chhattisgarh,29,Total District(s),2015,1560,19,1354,89,1868,53,620,0,141,10,0,0,2,4,5720
Goa,1,North Goa,2015,49,0,43,0,86,9,4,0,3,0,0,0,0,3,197
Goa,2,South Goa,2015,34,0,27,0,57,24,12,0,0,0,0,0,0,0,154
Goa,3,C. I. D.,2015,3,0,0,0,7,1,3,0,0,0,0,0,0,0,14
Goa,4,Total District(s),2015,86,0,70,0,150,34,19,0,3,0,0,0,0,3,365
Gujarat,1,Ahmedabad City,2015,59,0,243,1,152,2,595,0,5,0,0,0,1,8,1066
Gujarat,2,Ahmedabad Rural,2015,10,0,6,2,21,0,73,0,3,0,0,0,1,1,117
Gujarat,3,Amreli,2015,8,0,48,0,17,2,131,0,15,0,0,0,0,0,221
Gujarat,4,Anand,2015,22,1,96,0,41,3,99,0,1,0,0,0,0,2,265
Gujarat,5,Arvalli,2015,13,0,15,0,18,0,50,0,16,0,0,0,0,0,112
Gujarat,6,Banaskantha,2015,37,0,89,1,54,1,188,0,0,0,0,0,0,0,370
Gujarat,7,Bharuch,2015,12,0,24,0,41,0,93,0,2,0,0,0,0,0,172
Gujarat,8,Bhavnagar,2015,8,0,27,1,34,4,104,0,15,0,0,0,0,1,194
Gujarat,9,Botad,2015,1,0,25,1,18,0,20,0,7,0,0,0,0,0,72
Gujarat,10,Chhotaudepur,2015,12,0,6,0,12,0,19,0,0,0,0,0,0,0,49
Gujarat,11,C. I. D. Crime,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,12,Dahod,2015,23,0,53,0,38,0,137,0,0,0,0,0,0,0,251
Gujarat,13,Dang,2015,2,0,0,0,6,2,7,0,1,0,0,0,0,0,18
Gujarat,14,Devbhumi Dwarka,2015,5,0,11,0,3,1,42,0,12,0,0,0,0,0,74
Gujarat,15,Gandhinagar,2015,7,1,22,0,26,16,123,0,0,0,0,0,0,2,197
Gujarat,16,Gir Somnath,2015,6,0,14,0,27,2,122,0,2,0,0,0,0,1,174
Gujarat,17,Jamnagar,2015,11,0,36,1,20,1,169,0,13,0,0,0,0,2,253
Gujarat,18,Junagadh,2015,6,0,25,0,19,3,212,0,8,0,0,0,0,0,273
Gujarat,19,Kachchh East(G),2015,28,0,35,0,35,0,48,0,16,0,0,0,0,4,166
Gujarat,20,Kachchh West(B),2015,16,0,8,1,30,3,70,0,15,0,0,0,0,0,143
Gujarat,21,Kheda,2015,11,0,73,0,22,1,73,0,1,0,0,0,0,0,181
Gujarat,22,Mahisagar,2015,6,0,19,0,13,0,46,0,0,0,0,0,0,0,84
Gujarat,23,Mehsana,2015,17,0,81,0,39,0,180,0,2,2,0,0,0,1,322
Gujarat,24,Morbi,2015,8,0,21,0,8,1,58,0,8,0,0,0,0,0,104
Gujarat,25,Narmada,2015,1,0,5,0,9,0,13,0,0,0,0,0,0,0,28
Gujarat,26,Navsari,2015,4,0,25,0,13,0,42,0,1,0,0,0,0,1,86
Gujarat,27,Panchmahal,2015,7,0,16,0,28,0,66,0,0,34,0,0,0,1,152
Gujarat,28,Patan,2015,16,1,16,0,42,0,72,0,8,0,0,0,0,1,156
Gujarat,29,Porbandar,2015,3,0,11,0,12,0,72,0,3,0,0,0,0,0,101
Gujarat,30,Rajkot City,2015,19,0,74,0,35,2,204,0,19,0,0,0,0,3,356
Gujarat,31,Rajkot Rural,2015,10,0,60,0,32,0,163,0,7,0,0,0,0,0,272
Gujarat,32,Sabarkantha,2015,3,0,19,0,33,3,176,0,10,0,0,0,0,0,244
Gujarat,33,Surat City,2015,43,0,143,1,50,1,260,0,2,0,0,0,0,2,502
Gujarat,34,Surat Rural,2015,8,0,43,1,13,0,41,0,0,0,0,0,0,0,106
Gujarat,35,Surendranagar,2015,21,0,36,2,26,1,57,0,21,0,0,0,0,0,164
Gujarat,36,Tapi,2015,10,0,9,0,13,24,8,0,0,0,0,0,0,0,64
Gujarat,37,Vadodara City,2015,15,0,45,0,104,0,232,0,0,0,0,0,0,3,399
Gujarat,38,Vadodara Rural,2015,3,0,17,0,15,0,36,0,13,0,0,0,0,0,84
Gujarat,39,Valsad,2015,11,0,69,0,37,0,31,0,6,0,0,0,0,2,156
Gujarat,40,W.Rly Ahmedabad,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,41,W.Rly Vadodara,2015,1,0,4,0,8,0,1,0,0,0,0,0,0,0,14
Gujarat,42,Total District(s),2015,503,3,1569,12,1164,73,4133,0,232,36,0,0,2,35,7762
Haryana,1,Ambala (Rural),2015,3,0,26,7,18,0,36,0,0,0,0,0,0,1,91
Haryana,2,Ambala (Urban),2015,22,3,51,3,24,0,49,0,1,1,0,0,0,0,154
Haryana,3,Bhiwani,2015,44,7,36,18,94,0,147,0,11,1,0,0,0,3,361
Haryana,4,Faridabad,2015,128,9,313,24,123,0,371,0,0,2,0,0,0,3,973
Haryana,5,Fatehabad,2015,21,1,31,3,63,2,155,0,5,0,0,0,1,0,282
Haryana,6,G. R. P.,2015,1,0,0,4,18,0,0,0,4,0,0,0,0,0,27
Haryana,7,Gurgaon,2015,130,12,295,12,183,37,268,0,15,1,0,0,0,6,959
Haryana,8,Hissar,2015,55,0,52,13,118,4,360,0,8,1,0,0,0,0,611
Haryana,9,Jhajjar,2015,60,3,27,5,70,5,153,0,3,1,0,0,0,3,330
Haryana,10,Jind,2015,31,1,52,13,73,1,116,0,6,0,0,0,0,2,295
Haryana,11,Kaithal,2015,29,4,97,11,61,0,102,0,3,0,0,0,0,2,309
Haryana,12,Karnal,2015,54,9,248,15,94,1,235,0,20,1,0,0,0,11,688
Haryana,13,Kurukshetra,2015,26,4,53,9,88,1,145,0,0,0,0,0,0,0,326
Haryana,14,Mahendergarh,2015,32,4,50,10,100,4,71,0,5,2,0,0,2,2,282
Haryana,15,Mewat,2015,59,3,55,8,58,3,98,0,5,1,0,0,8,0,298
Haryana,16,Palwal,2015,36,5,52,22,87,1,158,0,2,0,0,0,0,0,363
Haryana,17,Panchkula,2015,24,0,116,2,34,4,62,0,4,0,0,0,0,2,248
Haryana,18,Panipat,2015,47,10,86,9,95,2,195,0,2,0,0,0,0,0,446
Haryana,19,Rewari,2015,56,9,49,9,71,17,119,0,2,0,0,0,0,0,332
Haryana,20,Rohtak,2015,54,6,277,14,190,2,193,0,12,1,0,0,0,2,751
Haryana,21,Sirsa,2015,52,2,48,5,58,3,168,0,0,0,0,0,0,6,342
Haryana,22,Sonipat,2015,62,6,57,20,94,3,168,0,14,2,0,0,0,1,427
Haryana,23,Yamunanagar,2015,44,7,265,7,72,0,156,0,0,0,0,0,0,0,551
Haryana,24,Irrigation & Power,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,25,Total District(s),2015,1070,105,2336,243,1886,90,3525,0,122,14,0,0,11,44,9446
Himachal Pradesh,1,Baddi,2015,7,0,12,0,19,1,15,0,2,0,0,0,0,0,56
Himachal Pradesh,2,Bilaspur,2015,15,0,23,0,45,13,12,0,5,0,0,0,0,0,113
Himachal Pradesh,3,Chamba,2015,26,0,20,1,28,0,10,0,3,0,0,0,0,0,88
Himachal Pradesh,4,C. I. D.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5,G. R. P.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6,Hamirpur,2015,6,0,10,0,34,9,11,0,8,0,0,0,0,0,78
Himachal Pradesh,7,Kangra,2015,46,1,35,0,60,11,39,0,22,0,0,0,15,1,230
Himachal Pradesh,8,Kinnaur,2015,8,0,5,0,4,0,3,0,0,0,0,0,0,0,20
Himachal Pradesh,9,Kullu,2015,23,0,11,0,19,4,14,0,0,0,0,0,0,0,71
Himachal Pradesh,10,Lahaul & Spiti,2015,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Himachal Pradesh,11,Mandi,2015,29,0,38,0,84,5,25,0,8,0,0,0,0,0,189
Himachal Pradesh,12,Shimla,2015,24,0,36,0,46,7,26,0,3,0,0,0,0,2,144
Himachal Pradesh,13,Sirmaur,2015,31,0,20,0,52,2,17,0,4,0,0,0,0,1,127
Himachal Pradesh,14,Solan,2015,8,0,12,0,18,2,10,0,1,0,0,0,0,1,52
Himachal Pradesh,15,Una,2015,18,0,17,1,25,3,44,0,8,0,0,0,0,1,117
Himachal Pradesh,16,Total District(s),2015,244,1,239,2,434,58,226,0,64,0,0,0,15,6,1289
Jammu & Kashmir,1,Anantnag,2015,20,0,77,0,135,0,25,0,1,0,0,0,0,0,258
Jammu & Kashmir,2,Awantipora,2015,6,0,23,0,28,0,4,0,0,0,0,0,0,0,61
Jammu & Kashmir,3,Bandipora,2015,4,0,33,0,27,13,3,0,5,0,0,0,0,0,85
Jammu & Kashmir,4,Baramulla,2015,6,3,72,0,85,20,12,0,0,0,0,0,0,0,198
Jammu & Kashmir,5,Budgam,2015,13,0,62,1,45,5,8,0,1,0,0,0,0,0,135
Jammu & Kashmir,6,Crime Jammu,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jammu & Kashmir,7,Crime Srinagar,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,8,Doda,2015,9,0,27,0,26,5,3,0,0,0,0,0,0,0,70
Jammu & Kashmir,9,Ganderbal,2015,0,1,31,0,61,0,6,0,0,0,0,0,0,0,99
Jammu & Kashmir,10,Handwara,2015,2,0,35,0,56,5,3,0,3,0,0,0,0,0,104
Jammu & Kashmir,11,Jammu,2015,51,0,202,3,111,33,92,0,0,0,0,0,0,0,492
Jammu & Kashmir,12,Kargil,2015,1,0,1,0,1,1,1,0,0,0,0,0,0,0,5
Jammu & Kashmir,13,Kathua,2015,20,4,51,0,53,4,17,0,3,0,0,0,0,0,152
Jammu & Kashmir,14,Kishtwar,2015,12,0,10,0,10,0,6,0,1,0,0,0,0,0,39
Jammu & Kashmir,15,Kulgam,2015,9,0,34,0,120,6,6,0,0,0,0,0,0,0,175
Jammu & Kashmir,16,Kupwara,2015,14,0,48,0,49,7,10,0,19,0,0,0,0,0,147
Jammu & Kashmir,17,Leh,2015,4,0,2,0,1,0,0,0,0,0,0,0,0,0,7
Jammu & Kashmir,18,Poonch,2015,14,0,25,0,31,0,11,0,6,0,0,0,0,0,87
Jammu & Kashmir,19,Pulwama,2015,5,0,33,0,28,10,1,0,0,0,0,0,0,0,77
Jammu & Kashmir,20,Railways Jammu,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jammu & Kashmir,21,Railways Kashmir,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,22,Railways Katra,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,23,Rajouri,2015,34,1,61,0,63,7,42,0,0,0,0,0,0,0,208
Jammu & Kashmir,24,Ramban,2015,11,0,18,0,24,6,15,0,0,0,0,0,0,0,74
Jammu & Kashmir,25,Reasi,2015,15,3,26,0,20,4,8,0,0,0,0,0,0,0,76
Jammu & Kashmir,26,Samba,2015,4,0,13,2,10,4,9,0,0,0,0,0,0,0,42
Jammu & Kashmir,27,Shopian,2015,8,0,26,0,45,0,4,0,0,0,0,0,0,0,83
Jammu & Kashmir,28,Sopore,2015,9,0,39,0,67,0,6,0,6,0,0,0,0,0,127
Jammu & Kashmir,29,Srinagar,2015,12,6,103,0,223,37,91,0,0,1,0,0,0,0,473
Jammu & Kashmir,30,Udhampur,2015,13,3,19,0,23,8,16,0,5,0,0,0,0,0,87
Jammu & Kashmir,31,Total District(s),2015,296,21,1071,6,1343,175,400,0,50,1,0,0,0,0,3363
Jharkhand,1,Bokaro,2015,97,0,123,14,0,0,260,0,0,0,0,0,0,0,494
